Order ID,Customer,Site Code,City,Country,Region,Service Type,Status,DPM,Field Engineer,Order Date,Target Go-Live,Actual Go-Live,FTE Days,Revenue (EUR),APs Migrated,Priority
10-10182581,MAERSK LOGISTICS,DKCPH,Copenhagen,Denmark,EMEA,LAN Refresh,in-progress,Ahmed El Bourgy,T. Nakamura,20/09/2025,2025-12-17,,6.1,8990,47,High
10-10182861,CARLSBERG GROUP,DKCPH,Copenhagen,,EMEA,Wireless Migration,in-progress,Karim El Zarka,P. Dubois,26/01/2025,2025-02-26,,12.9,21626,133,High
10-10183634,Maersk Logistics,DKCPH,Copenhagen,Denmark,EMEA,SD-WAN Migration,delivered,Carlos Mendez,T. Nakamura,02/12/2025,2026-01-30,2026-02-07,"10,2",9972,0,Low
10-10183776,  Harman International,CNSHA,Shanghai,China,APAC,Wireless Migration,in-progress,Neha Saini,S. Okafor,14/03/2025,2025-05-18,,24.9,30148,72,Low
10-10184536,  Nordea Bank,DKCPH,Copenhagen,Denmark,EMEA,SD-WAN Migration,Cancelled,Mia Larsson,R. Kumar,28/02/2025,2025-04-07,,8.9,12020,0,High
10-10185195,  Volvo Group,BEGEN,Ghent,Belgium,EMEA,Wireless Migration,in-progress,Karim El Zarka,L. Andersson,21/05/2025,2025-08-14,,14.7,14372,108,High
10-10186024,NETWORK INTERNATIONAL,AEAUH,Abu Dhabi,UAE,EMEA,Wireless Migration,staging,Mia Larsson,L. Andersson,15/10/2025,2025-12-29,,16.6,17140,38,Low
10-10186660,  Network International,AEAUH,Abu Dhabi,UAE,EMEA,Wireless Migration,Delivered,Karim El Zarka,T. Nakamura,11/07/2025,2025-08-06,2025-08-11,7.5,11393,26,Low
10-10187116,Network International ,AEDXB,Dubai,UAE,EMEA,Wireless Migration,Cancelled,Neha Saini,P. Dubois,06/04/2025,2025-06-18,,2.6,6428,105,High
10-10187874,Harman International ,DEGAR,Garching,Germany,EMEA,LAN Refresh,On Hold,Neha Saini,R. Kumar,29/04/2025,2025-06-14,,23.2,33239,78,High
10-10188111,Carlsberg Group,PLWAW,Warsaw,Poland,EMEA,SD-WAN Migration,on hold,Mia Larsson,P. Dubois,28/05/2025,2025-08-01,,18.7,27261,0,Low
10-10188269,  Nordea Bank,DKCPH,Copenhagen,Denmark,EMEA,SD-WAN Migration,Delivered,Mia Larsson,T. Nakamura,07/11/2025,2026-01-22,2026-01-27,20.9,27305,0,High
10-10188899,  Volvo Group,BEGEN,Ghent,Belgium,EMEA,LAN Refresh,Staging,Karim El Zarka,S. Okafor,06/01/2025,2025-04-03,,26.1,40684,50,High
10-10189619,  Maersk Logistics,SGSIN,Singapore,Singapore,APAC,LAN Refresh,Staging,Karim El Zarka,T. Nakamura,08/06/2025,2025-09-01,,"10,0",14516,103,High
10-10190089,Carlsberg Group ,DKCPH,Copenhagen,Denmark,EMEA,SD-WAN Migration,Delivered,Karim El Zarka,S. Okafor,06/01/2025,2025-03-06,2025-03-09,7.5,13681,0,Medium
10-10190820,VOLVO GROUP,BEGEN,Ghent,Belgium,EMEA,Wireless Migration,In Progress,Karim El Zarka,R. Kumar,31/05/2025,2025-08-25,,19.3,24371,60,Low
10-10191010,SKF Industrial ,SEGOT,Gothenburg,,EMEA,Wireless Migration,Cancelled,Carlos Mendez,S. Okafor,14/11/2025,2025-12-14,,13.8,21344,98,High
10-10191721,SKF INDUSTRIAL,SEGOT,Gothenburg,Sweden,EMEA,MPLS Service Order,delivered,Neha Saini,S. Okafor,28/09/2025,2025-12-17,2025-12-12,16.5,18765,0,Medium
10-10192333,Maersk Logistics ,SGSIN,Singapore,Singapore,APAC,MPLS Service Order,On Hold,Karim El Zarka,R. Kumar,13/10/2025,2025-12-30,,25.3,36908,0,Low
10-10192656,Atlas Copco ,SESTO,Stockholm,,EMEA,SD-WAN Migration,Delivered,Neha Saini,R. Kumar,01/06/2025,2025-07-22,2025-07-24,10.7,15877,0,High
10-10193406,Network International ,AEDXB,Dubai,,EMEA,LAN Refresh,delivered,Carlos Mendez,T. Nakamura,24/06/2025,2025-09-22,2025-09-30,12.8,17631,107,Low
10-10193466,Carlsberg Group ,PLWAW,Warsaw,Poland,EMEA,LAN Refresh,cancelled,Mia Larsson,R. Kumar,07/06/2025,2025-08-16,,24.2,34365,139,Medium
10-10193785,Carlsberg Group,PLWAW,Warsaw,Poland,EMEA,LAN Refresh,Delivered,Mia Larsson,T. Nakamura,01/08/2025,2025-09-12,2025-09-20,25.9,37561,100,Medium
10-10193910,  Carlsberg Group,DKCPH,Copenhagen,Denmark,EMEA,MPLS Service Order,Delivered,Carlos Mendez,P. Dubois,19/05/2025,2025-07-27,2025-07-31,7.5,10637,0,Medium
10-10194801,Carlsberg Group,PLWAW,Warsaw,,EMEA,LAN Refresh,delivered,Ahmed El Bourgy,R. Kumar,09/10/2025,2025-11-05,2025-11-10,7.8,10765,10,High
10-10194861,Network International,AEDXB,Dubai,UAE,EMEA,Wireless Migration,Delivered,Neha Saini,T. Nakamura,05/03/2025,2025-06-06,2025-06-06,14.1,19525,94,Medium
10-10195666,HARMAN INTERNATIONAL,USNOR,Northridge,USA,Americas,SD-WAN Migration,Delivered,Neha Saini,L. Andersson,19/01/2025,2025-03-20,2025-04-01,19.6,26790,0,Medium
10-10196556,VOLVO GROUP,SEGOT,Gothenburg,Sweden,EMEA,SD-WAN Migration,On Hold,Ahmed El Bourgy,P. Dubois,09/11/2025,2025-12-15,,22.7,36778,0,Medium
10-10197273,  Maersk Logistics,DKCPH,Copenhagen,Denmark,EMEA,SD-WAN Migration,Delivered,Carlos Mendez,J. Becker,09/08/2025,2025-10-31,2025-10-28,13.3,19494,0,High
10-10197493,  Nordea Bank,FIHEL,Helsinki,Finland,EMEA,MPLS Service Order,Delivered,Carlos Mendez,R. Kumar,05/11/2025,2025-12-30,2026-01-03,24.1,24952,0,Medium
10-10198116,CARLSBERG GROUP,PLWAW,Warsaw,Poland,EMEA,LAN Refresh,Delivered,Mia Larsson,J. Becker,21/06/2025,2025-08-04,2025-08-13,"7,5",10124,71,Low
10-10198725,SKF Industrial,FRSCY,Cergy,France,EMEA,Wireless Migration,delivered,Carlos Mendez,L. Andersson,02/08/2025,2025-10-24,2025-11-04,21.7,32742,125,High
10-10198991,  Carlsberg Group,DKCPH,Copenhagen,Denmark,EMEA,SD-WAN Migration,In Progress,Mia Larsson,P. Dubois,13/07/2025,2025-10-02,,"16,4",22274,0,Medium
10-10199495,Nordea Bank ,FIHEL,Helsinki,,EMEA,SD-WAN Migration,Delivered,Neha Saini,J. Becker,14/04/2025,2025-06-14,2025-06-11,"21,3",23979,0,Medium
10-10200276,Nordea Bank ,DKCPH,Copenhagen,Denmark,EMEA,Wireless Migration,delivered,Ahmed El Bourgy,L. Andersson,09/07/2025,2025-08-21,2025-08-24,2.4,3988,70,Medium
10-10201030,NETWORK INTERNATIONAL,AEAUH,Abu Dhabi,,EMEA,LAN Refresh,On Hold,Ahmed El Bourgy,P. Dubois,26/10/2025,2025-12-22,,14.2,20579,47,Low
10-10201559,  Harman International,USNOR,Northridge,USA,Americas,MPLS Service Order,delivered,Karim El Zarka,L. Andersson,28/10/2025,2025-11-24,2025-11-22,"5,9",12595,0,Low
10-10201720,Carlsberg Group ,DKCPH,Copenhagen,Denmark,EMEA,MPLS Service Order,delivered,Mia Larsson,L. Andersson,20/08/2025,2025-10-18,2025-10-30,27.7,35901,0,Medium
10-10202517,Harman International ,USNOR,Northridge,USA,Americas,Wireless Migration,Delivered,Carlos Mendez,S. Okafor,16/02/2025,2025-03-29,2025-03-30,6.5,6985,0,Medium
10-10203038,NORDEA BANK,DKCPH,Copenhagen,Denmark,EMEA,Wireless Migration,Delivered,Carlos Mendez,L. Andersson,30/05/2025,2025-08-17,2025-08-13,19.9,26509,50,Medium
10-10203741,  Network International,AEAUH,Abu Dhabi,UAE,EMEA,Wireless Migration,delivered,Carlos Mendez,L. Andersson,31/03/2025,2025-05-30,2025-06-12,21.5,35636,73,Medium
10-10204092,Carlsberg Group ,PLWAW,Warsaw,Poland,EMEA,MPLS Service Order,Delivered,Ahmed El Bourgy,R. Kumar,08/11/2025,2025-12-04,2025-12-11,"21,1",24496,0,Low
10-10204988,SKF Industrial,SEKIR,Kiruna,Sweden,EMEA,LAN Refresh,Staging,Neha Saini,T. Nakamura,05/04/2025,2025-06-25,,15.5,24708,71,Medium
10-10205861,ATLAS COPCO,SESTO,Stockholm,Sweden,EMEA,MPLS Service Order,delivered,Carlos Mendez,J. Becker,25/06/2025,2025-08-26,2025-09-10,4.7,6350,0,Medium
10-10206579,  Carlsberg Group,DKCPH,Copenhagen,Denmark,EMEA,MPLS Service Order,delivered,Mia Larsson,L. Andersson,15/05/2025,2025-07-16,2025-07-13,27.2,39255,0,Medium
10-10207174,  Atlas Copco,INPUN,Pune,India,APAC,LAN Refresh,delivered,Mia Larsson,R. Kumar,10/07/2025,2025-10-02,2025-10-16,13.5,13685,68,Low
10-10207662,ATLAS COPCO,SESTO,Stockholm,Sweden,EMEA,LAN Refresh,Cancelled,Mia Larsson,S. Okafor,13/11/2025,2026-01-03,,"20,5",27225,3,High
10-10207818,Atlas Copco,SESTO,Stockholm,Sweden,EMEA,Wireless Migration,Delivered,Carlos Mendez,T. Nakamura,04/06/2025,2025-08-29,2025-09-14,9.1,14619,62,High
10-10208053,  Network International,AEDXB,Dubai,UAE,EMEA,SD-WAN Migration,Staging,Ahmed El Bourgy,P. Dubois,06/08/2025,2025-10-09,,26.3,38413,0,Medium
10-10208950,  Atlas Copco,SESTO,Stockholm,Sweden,EMEA,MPLS Service Order,in-progress,Carlos Mendez,P. Dubois,01/07/2025,2025-09-02,,16.3,25277,0,Low
10-10209704,Volvo Group ,BEGEN,Ghent,,EMEA,Wireless Migration,On Hold,Carlos Mendez,J. Becker,04/08/2025,2025-08-30,,10.3,17143,97,Medium
10-10210411,  Network International,AEAUH,Abu Dhabi,,EMEA,LAN Refresh,delivered,Carlos Mendez,L. Andersson,04/11/2025,2026-01-06,2026-01-03,24.7,33753,134,Medium
10-10210870,NETWORK INTERNATIONAL,AEDXB,Dubai,UAE,EMEA,MPLS Service Order,Staging,Ahmed El Bourgy,P. Dubois,21/05/2025,2025-07-24,,18.2,26448,0,Low
10-10174820,Carlsberg Group,DKCPH,Copenhagen,Denmark,EMEA,SD-WAN Migration,On Hold,Neha Saini,P. Dubois,18/11/2025,2026-01-24,,17.0,16694,0,Low
10-10178652,  Nordea Bank,DKCPH,Copenhagen,,EMEA,Wireless Migration,Delivered,Carlos Mendez,L. Andersson,29/03/2025,2025-06-27,2025-07-15,26.0,25853,82,High
